name_wt,statuses_count,followers_count,friends_count,favourites_count,listed_count,label
0.6,195,19,53,58,0,0
0.7058823529411765,9,67,555,2,1,0
0.9166666666666666,20,21,267,0,0,1
0.5,28,16,325,0,0,1
0.7333333333333333,45,20,515,0,0,1
0.5,4170,1780,1697,483,24,0
0.5833333333333334,48,20,412,0,0,1
0.7142857142857143,315,44,138,9,0,0
0.5384615384615384,49,19,507,0,0,1
0.3333333333333333,35,10,293,0,0,1
0.5,31,16,329,0,0,1
0.7142857142857143,35,15,326,0,0,1
0.5,500,35,105,2,0,0
0.6153846153846154,20686,1859,1856,1697,1,0
0.1875,32109,1617,1993,6836,4,0
0.6923076923076923,25,15,44,7,0,0
0.1111111111111111,280,117,184,4,1,0
0.6875,2177,178,648,186,0,0
0.9,30,17,355,0,0,1
0.4666666666666667,56,20,539,0,0,1
0.8571428571428571,47,18,515,0,0,1
0.25,288,42,148,21,3,0
0.5384615384615384,35,16,334,0,0,1
0.4166666666666667,29,20,333,0,0,1
0.9,18,12,255,0,0,1
0.75,635,28,77,46,0,0
0.9333333333333333,114,144,178,0,1,0
0.8666666666666667,23,14,263,0,0,1
0.6,52,15,543,0,0,1
0.9090909090909091,38,10,405,0,0,1
0.5263157894736842,103,45,66,0,0,0
0.9285714285714286,103,88,229,109,0,0
0.3684210526315789,3280,651,912,1712,4,0
0.23076923076923078,13511,1103,1999,1069,14,0
0.875,6131,488,366,1058,10,0
1.0,17,6,11,0,0,0
0.21428571428571427,185,101,133,22,1,0
0.5833333333333334,62,25,600,0,0,1
0.4375,37,25,323,0,0,1
0.5384615384615384,63,20,663,0,0,1
0.4666666666666667,36,19,394,0,0,1
0.4117647058823529,23,17,287,0,0,1
0.4666666666666667,5,1,36,0,0,1
0.9230769230769231,370,69,143,42,0,0
0.5625,1280,88,613,19,0,0
0.06666666666666667,3134,191,778,80,2,0
0.36363636363636365,58,23,549,0,0,1
0.9333333333333333,67,11,58,8,0,0
1.0,22540,2065,1125,0,64,0
1.0,14467,1612,1581,431,10,0
0.5,1073,89,237,53,1,0
0.38461538461538464,40,22,527,0,0,1
0.5555555555555556,53,17,536,0,0,1
0.5,114,47,87,11,0,0
0.9090909090909091,24,17,273,0,0,1
0.7333333333333333,48,23,599,0,0,1
0.5,115,16,67,2,0,0
0.5714285714285714,89,20,850,0,0,1
0.8823529411764706,752,39,113,0,0,0
0.9230769230769231,1121,120,155,6,0,0
0.42857142857142855,26,16,369,0,0,1
0.2,8966,504,570,484,4,0
0.5555555555555556,23,16,314,0,0,1
0.4,16,10,306,0,0,1
0.4666666666666667,65,26,619,0,0,1
0.5,25,8,210,0,0,1
0.4666666666666667,3,3,54,0,0,1
0.875,842,77,200,3,0,0
0.9230769230769231,279,96,1027,4,0,0
0.42857142857142855,27,16,299,0,0,1
0.4375,55,20,566,0,0,1
1.0,707,27,59,1,1,0
0.2,3411,112,121,628,0,0
0.125,2085,341,454,289,0,0
0.375,360,95,213,1,0,0
0.5,61,27,782,0,0,1
0.9333333333333333,2,1,18,0,0,1
0.9285714285714286,32,13,374,0,0,1
0.4666666666666667,437,75,117,47,4,0
